Tarikh,Negeri,Kes Baharu,Kes Keseluruhan,Kematian Baharu,Kematian Keseluruhan,Populasi Dewasa,Peratus Populasi Dewasa,Menerima Dos Pertama,Menerima Dos Kedua,Kumpulan Keutamaan yang Berdaftar,Peratusan Vaksinasi %,Jumlah Belum Berdaftar
2020-04-08,Sarawak,18,306,0,12,,,,,,,
2020-04-08,Kuala Lumpur,14,685,1,14,,,,,,,
2020-04-08,Putrajaya,2,45,0,0,,,,,,,
2020-04-08,Labuan,0,13,0,0,,,,,,,
2020-04-09,Perlis,0,17,0,1,,,,,,,
2020-04-09,Kedah,2,93,0,1,,,,,,,
2020-04-09,Pulau Pinang,0,108,0,1,,,,,,,
2020-04-09,Perak,4,241,0,4,,,,,,,
2020-04-09,Selangor,40,1118,0,4,,,,,,,
2020-04-09,Negeri Sembilan,11,281,0,5,,,,,,,
2020-04-09,Melaka,3,119,1,2,,,,,,,
2020-04-09,Johor,7,503,0,14,,,,,,,
2020-04-09,Pahang,14,183,0,1,,,,,,,
2020-04-09,Terengganu,5,98,0,1,,,,,,,
2020-04-09,Kelantan,1,148,0,3,,,,,,,
2020-04-09,Sabah,0,248,0,2,,,,,,,
2020-04-09,Sarawak,6,312,1,13,,,,,,,
2020-04-09,Kuala Lumpur,14,699,0,14,,,,,,,
2020-04-09,Putrajaya,2,47,0,0,,,,,,,
2020-04-09,Labuan,0,13,0,0,,,,,,,
2020-04-10,Perlis,0,17,0,1,,,,,,,
2020-04-10,Kedah,0,93,0,1,,,,,,,
2020-04-10,Pulau Pinang,1,109,0,1,,,,,,,
2020-04-10,Perak,1,242,0,4,,,,,,,
2020-04-10,Selangor,30,1148,0,4,,,,,,,
2020-04-10,Negeri Sembilan,11,292,0,5,,,,,,,
2020-04-10,Melaka,14,133,0,2,,,,,,,
2020-04-10,Johor,20,523,0,14,,,,,,,
2020-04-10,Pahang,4,187,0,1,,,,,,,
2020-04-10,Terengganu,3,101,0,1,,,,,,,
2020-04-10,Kelantan,1,149,0,3,,,,,,,
2020-04-10,Sabah,2,250,1,3,,,,,,,
2020-04-10,Sarawak,15,327,0,13,,,,,,,
2020-04-10,Kuala Lumpur,14,713,2,16,,,,,,,
2020-04-10,Putrajaya,2,49,0,0,,,,,,,
2020-04-10,Labuan,0,13,0,0,,,,,,,
2020-04-11,Perlis,0,17,0,1,,,,,,,
2020-04-11,Kedah,0,93,0,1,,,,,,,
